,,,,,,,,,,art,art,art,art,bus,bus,bus,bus,cs,cs,cs,cs,econ,econ,econ,econ,edu,edu,edu,edu,eng,eng,eng,eng,humanities,humanities,humanities,humanities,lifesci,lifesci,lifesci,lifesci,math,math,math,math,nurse,nurse,nurse,nurse,polisci,polisci,polisci,polisci,social,social,social,social
24,536,University of North Texas (UNT) (Out-Of-State),48%,"$119,600 ","$242,800 ",5.90%,"$68,770 ","$293,600 ",8.80%,"($23,300)",-0.90%,"$27,460 ",1.90%,"$354,100 ",7.30%,"$404,900 ",10.30%,"$718,900 ",10.40%,"$769,700 ",13.50%,,,,,,,,,,,,,"$73,470 ",2.60%,"$124,300 ",5.50%,,,,,,,,,,,,,,,,,,,,
0,537,Point Loma Nazarene University ,75%,"$169,300 ","$242,700 ",4.70%,"$110,600 ","$301,300 ",7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,538,Midwestern State University (MSU) (In-State),40%,"$72,190 ","$242,500 ",7.80%,"$43,010 ","$271,600 ",10.60%,,,,,"$244,000 ",7.80%,"$273,200 ",10.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,539,California State University - Northridge (CSUN) (Out-Of-State),48%,"$167,200 ","$242,300 ",4.80%,"$115,000 ","$294,600 ",6.70%,"$82,110 ",2.20%,"$134,400 ",4.10%,"$299,100 ",5.40%,"$351,400 ",7.40%,"$703,700 ",8.80%,"$755,900 ",10.80%,,,,,,,,,"$618,000 ",8.20%,"$670,200 ",10.30%,"($195,000)",<-3.9%,"($143,000)",<-2.4%,,,,,,,,,,,,,,,,,,,,
0,540,Eastern University ,60%,"$160,100 ","$241,500 ",4.90%,"$96,550 ","$305,000 ",7.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,541,John Carroll University ,75%,"$178,600 ","$241,400 ",4.50%,"$93,320 ","$326,700 ",8.00%,,,,,"$481,800 ",6.90%,"$567,100 ",10.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,542,Saginaw Valley State University (SVSU) (In-State),38%,"$84,900 ","$241,300 ",7.10%,"$59,600 ","$266,600 ",9.00%,,,,,,,,,,,,,,,,,,,,,"$646,000 ",11.50%,"$671,300 ",13.50%,,,,,,,,,,,,,,,,,,,,,,,,
6,543,Rhode Island College (In-State),43%,"$88,420 ","$240,900 ",7.00%,"$58,610 ","$270,700 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$559,300 ",10.60%,"$589,200 ",12.90%,,,,,,,,
36,544,Illinois State University (Out-Of-State),71%,"$134,700 ","$240,800 ",5.40%,"$97,040 ","$278,500 ",7.20%,"$124,800 ",3.50%,"$162,500 ",5.20%,"$381,300 ",7.10%,"$419,000 ",8.90%,"$512,900 ",8.30%,"$550,600 ",10.10%,,,,,"$69,600 ",2.30%,"$107,300 ",4.00%,,,,,"$95,890 ",2.90%,"$133,600 ",4.60%,,,,,,,,,,,,,,,,,"($26,400)",-0.90%,"$11,310 ",0.70%
12,545 (tie),Ferris State University (Out-Of-State),44%,"$129,400 ","$240,600 ",5.60%,"$93,010 ","$277,000 ",7.30%,"($38,700)",-1.60%,"($2,310)",0.00%,"$104,900 ",3.20%,"$141,300 ",4.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,545 (tie),University of Minnesota - Duluth Campus (Out-Of-State),54%,"$111,200 ","$240,600 ",6.10%,"$82,320 ","$269,500 ",7.70%,"($48,100)",-2.60%,"($19,200)",-1.20%,"$224,200 ",5.80%,"$253,100 ",7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,547,"Clark University - Worcester, MA ",80%,"$185,700 ","$240,100 ",4.40%,"$100,100 ","$325,700 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,548 (tie),William Paterson University (Out-Of-State),48%,"$157,900 ","$239,900 ",4.90%,"$114,900 ","$282,900 ",6.60%,,,,,"$371,800 ",6.40%,"$414,800 ",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,548 (tie),North Carolina A&T State University (Out-Of-State),43%,"$115,700 ","$239,900 ",5.90%,"$81,040 ","$274,600 ",7.80%,,,,,"$278,800 ",6.50%,"$313,400 ",8.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,550,University of Nevada - Las Vegas (UNLV) (Out-Of-State),41%,"$162,400 ","$239,500 ",4.80%,"$136,400 ","$265,500 ",5.70%,,,,,"$322,700 ",5.80%,"$348,800 ",6.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"($33,000)",-1.00%,"($6,930)",-0.10%
6,551,California State University - Fresno (Fresno State) (Out-Of-State),48%,"$151,200 ","$239,200 ",5.00%,"$98,720 ","$291,600 ",7.30%,,,,,"$350,100 ",6.30%,"$402,600 ",8.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,552,"Westminster College - Salt Lake City, UT ",57%,"$162,600 ","$239,100 ",4.80%,"$96,530 ","$305,200 ",7.60%,,,,,"$334,800 ",5.90%,"$400,900 ",8.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,553,Eckerd College ,60%,"$193,400 ","$238,600 ",4.30%,"$116,200 ","$315,900 ",7.00%,,,,,"$341,400 ",5.40%,"$418,700 ",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,554,University of North Carolina at Chapel Hill (UNC) (Out-Of-State),89%,"$165,200 ","$238,200 ",4.70%,"$112,700 ","$290,700 ",6.80%,,,,,"$532,600 ",7.60%,"$585,000 ",9.70%,"$606,200 ",8.20%,"$658,600 ",10.30%,"$530,900 ",7.60%,"$583,300 ",9.70%,,,,,,,,,"$44,370 ",1.40%,"$96,820 ",3.30%,"$605,300 ",8.20%,"$657,800 ",10.30%,,,,,,,,,,,,,,,,
36,555,University of Georgia (UGA) (Out-Of-State),83%,"$164,800 ","$237,900 ",4.70%,"$127,700 ","$275,100 ",6.10%,"$38,940 ",1.20%,"$76,110 ",2.50%,"$393,000 ",6.50%,"$430,100 ",7.80%,"$342,800 ",6.00%,"$380,000 ",7.30%,"$539,400 ",7.70%,"$576,600 ",9.10%,"($22,500)",-0.60%,"$14,640 ",0.70%,,,,,"$123,900 ",3.00%,"$161,100 ",4.30%,,,,,,,,,,,,,,,,,,,,
6,556,Midwestern State University (MSU) (Out-Of-State),40%,"$76,840 ","$237,800 ",7.50%,"$47,660 ","$267,000 ",10.10%,,,,,"$239,400 ",7.50%,"$268,600 ",10.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,557 (tie),"Northwood University - Midland, MI ",56%,"$135,800 ","$237,500 ",5.40%,"$70,540 ","$302,800 ",8.90%,,,,,"$245,300 ",5.50%,"$310,500 ",9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,557 (tie),Armstrong Atlantic State University (AASU) (In-State),33%,"$97,740 ","$237,500 ",6.50%,"$70,570 ","$264,600 ",8.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,559,University of Toledo (Out-Of-State),44%,"$144,900 ","$237,200 ",5.10%,"$110,500 ","$271,500 ",6.60%,,,,,"$268,100 ",5.50%,"$302,500 ",7.00%,,,,,,,,,,,,,"$477,900 ",7.70%,"$512,200 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,
6,560 (tie),University of Denver ,76%,"$217,500 ","$237,100 ",3.90%,"$131,600 ","$323,000 ",6.60%,,,,,"$261,500 ",4.20%,"$347,400 ",6.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,560 (tie),University of Tennessee at Chattanooga (UTC) (In-State),38%,"$91,560 ","$237,100 ",6.80%,"$55,600 ","$273,000 ",9.50%,,,,,"$180,200 ",5.80%,"$216,200 ",8.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,562,Cabrini College ,48%,"$192,100 ","$236,600 ",4.30%,"$113,800 ","$314,800 ",7.00%,,,,,"$328,400 ",5.30%,"$406,600 ",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,563,Jacksonville University ,41%,"$176,600 ","$236,000 ",4.50%,"$87,370 ","$325,300 ",8.20%,,,,,"$281,000 ",5.00%,"$370,300 ",8.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,564,"Concordia University - Mequon, WI ",59%,"$152,400 ","$235,800 ",5.00%,"$90,810 ","$297,400 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,565,SUNY - College at Brockport (In-State),67%,"$85,060 ","$235,600 ",7.00%,"$61,680 ","$259,000 ",8.80%,,,,,"$421,700 ",9.50%,"$445,100 ",11.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,566,University of Indianapolis ,55%,"$149,100 ","$235,300 ",5.00%,"$91,870 ","$292,600 ",7.60%,,,,,"$401,900 ",6.90%,"$459,100 ",9.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,567 (tie),Mercer University ,63%,"$193,400 ","$235,100 ",4.20%,"$71,690 ","$356,900 ",9.50%,,,,,"$340,200 ",5.40%,"$461,900 ",10.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,567 (tie),University of Louisville (In-State),52%,"$95,280 ","$235,100 ",6.60%,"$56,710 ","$273,700 ",9.40%,,,,,"$209,900 ",6.20%,"$248,400 ",9.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,567 (tie),University of Mississippi (In-State),58%,"$87,400 ","$235,100 ",6.90%,"$55,810 ","$266,700 ",9.30%,,,,,"$227,300 ",6.80%,"$258,900 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,570,Rider University ,67%,"$192,300 ","$234,600 ",4.20%,"$123,100 ","$303,900 ",6.60%,,,,,"$326,500 ",5.30%,"$395,700 ",7.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,571,Montana State University - Main Campus (Out-Of-State),49%,"$144,300 ","$234,500 ",5.10%,"$118,700 ","$260,200 ",6.10%,,,,,"$120,800 ",3.30%,"$146,400 ",4.30%,,,,,,,,,"($128,000)",-10.20%,"($102,000)",-9.30%,"$652,500 ",9.10%,"$678,200 ",10.20%,,,,,,,,,,,,,,,,,,,,,,,,
18,572,University of Tennessee (Out-Of-State),66%,"$174,100 ","$234,300 ",4.50%,"$137,800 ","$270,600 ",5.80%,"$116,100 ",2.80%,"$152,400 ",4.00%,"$301,300 ",5.30%,"$337,600 ",6.60%,,,,,,,,,,,,,"$610,800 ",8.00%,"$647,100 ",9.30%,,,,,,,,,,,,,,,,,,,,,,,,
6,573,West Texas A & M University (In-State),44%,"$78,010 ","$234,200 ",7.40%,"$48,860 ","$263,300 ",9.90%,,,,,"$157,900 ",5.90%,"$187,100 ",8.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,574,"Oakland University - Rochester Hills, MI (Out-Of-State)",43%,"$157,900 ","$234,100 ",4.80%,"$125,700 ","$266,300 ",6.00%,,,,,"$231,200 ",4.80%,"$263,400 ",6.00%,,,,,,,,,,,,,"$549,400 ",8.00%,"$581,600 ",9.20%,,,,,,,,,,,,,,,,,,,,,,,,
0,575,Saint Francis University ,65%,"$170,400 ","$233,700 ",4.60%,"$95,270 ","$308,800 ",7.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,576 (tie),Sam Houston State University (Out-Of-State),48%,"$116,600 ","$233,600 ",5.80%,"$89,340 ","$260,800 ",7.20%,"$36,250 ",1.50%,"$63,470 ",2.90%,"$323,800 ",7.00%,"$351,000 ",8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$132,900 ",4.00%,"$160,100 ",5.40%
6,576 (tie),Tarleton State University (TSU) (In-State),39%,"$78,850 ","$233,600 ",7.30%,"$54,670 ","$257,700 ",9.30%,,,,,"$186,300 ",6.40%,"$210,500 ",8.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,578,Georgia State University (In-State),51%,"$108,500 ","$233,200 ",6.10%,"$68,870 ","$272,800 ",8.50%,,,,,"$343,200 ",7.60%,"$382,800 ",10.00%,"$592,500 ",10.00%,"$632,100 ",12.50%,,,,,,,,,,,,,"($2,060)",0.10%,"$37,570 ",2.40%,,,,,,,,,"$382,900 ",8.00%,"$422,600 ",10.50%,"$43,200 ",1.90%,"$82,830 ",4.20%,,,,
6,579,Messiah College ,76%,"$159,700 ","$233,000 ",4.80%,"$99,790 ","$292,900 ",7.30%,,,,,"$290,500 ",5.50%,"$350,400 ",8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,580,CUNY - Hunter College (Out-Of-State),46%,"$116,300 ","$232,700 ",5.80%,"$83,520 ","$265,400 ",7.60%,"$65,520 ",2.40%,"$98,280 ",4.10%,"$422,800 ",8.10%,"$455,600 ",10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,581,Lebanon Valley College ,72%,"$179,400 ","$232,500 ",4.40%,"$107,000 ","$304,900 ",7.10%,,,,,"$232,900 ",4.40%,"$305,300 ",7.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,582,Muhlenberg College ,87%,"$206,100 ","$232,300 ",4.00%,"$130,000 ","$308,400 ",6.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,583 (tie),Cleveland State University (In-State),34%,"$116,500 ","$232,200 ",5.80%,"$85,020 ","$263,700 ",7.50%,,,,,"$236,800 ",5.90%,"$268,300 ",7.60%,"$377,100 ",7.70%,"$408,600 ",9.40%,,,,,,,,,"$487,300 ",8.80%,"$518,800 ",10.50%,,,,,,,,,,,,,,,,,,,,,,,,
24,583 (tie),Ohio University - Main Campus (Out-Of-State),64%,"$141,000 ","$232,200 ",5.20%,"$116,900 ","$256,300 ",6.10%,"$38,460 ",1.40%,"$62,620 ",2.30%,"$335,100 ",6.40%,"$359,200 ",7.40%,,,,,,,,,,,,,"$525,500 ",8.30%,"$549,600 ",9.30%,,,,,,,,,,,,,"$462,300 ",7.70%,"$486,500 ",8.70%,,,,,,,,
6,585,Howard University ,63%,"$147,400 ","$231,900 ",5.00%,"$81,320 ","$298,000 ",8.20%,"($16,800)",-0.40%,"$49,300 ",2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,586,William Jewell College ,69%,"$166,600 ","$231,800 ",4.60%,"$87,140 ","$311,200 ",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,587,University of Texas at San Antonio (UTSA) (In-State),28%,"$94,100 ","$231,600 ",6.60%,"$60,710 ","$265,000 ",8.90%,,,,,"$223,000 ",6.40%,"$256,400 ",8.80%,"$550,600 ",10.30%,"$584,000 ",12.70%,,,,,,,,,"$563,000 ",10.40%,"$596,400 ",12.80%,,,,,,,,,,,,,,,,,,,,,,,,
6,588,Youngstown State University (YSU) (In-State),32%,"$97,060 ","$230,700 ",6.40%,"$66,100 ","$261,700 ",8.50%,,,,,"$165,100 ",5.30%,"$196,100 ",7.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,589,University of Kansas (Out-Of-State),64%,"$150,900 ","$230,200 ",4.90%,"$120,900 ","$260,100 ",6.10%,"($28,000)",-0.90%,"$1,935 ",0.20%,"$333,300 ",6.20%,"$363,300 ",7.40%,"$655,700 ",8.90%,"$685,700 ",10.10%,,,,,,,,,,,,,"$3,111 ",0.30%,"$33,070 ",1.40%,"$132,300 ",3.40%,"$162,300 ",4.50%,,,,,"$412,100 ",7.00%,"$442,000 ",8.20%,,,,,,,,
36,590,University of South Carolina - Main Campus (In-State),72%,"$96,740 ","$230,100 ",6.40%,"$65,760 ","$261,100 ",8.50%,,,,,"$250,300 ",6.80%,"$281,300 ",8.90%,"$410,000 ",8.80%,"$441,000 ",10.90%,,,,,,,,,"$522,400 ",9.90%,"$553,400 ",12.00%,,,,,"$85,270 ",3.40%,"$116,300 ",5.40%,,,,,"$301,600 ",7.50%,"$332,500 ",9.60%,"$115,800 ",4.20%,"$146,700 ",6.20%,,,,
0,591 (tie),Baker University ,55%,"$152,300 ","$229,900 ",4.90%,"$77,670 ","$304,500 ",8.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,591 (tie),University of Texas at El Paso (UTEP) (Out-Of-State),38%,"$140,600 ","$229,900 ",5.10%,"$92,710 ","$277,800 ",7.30%,,,,,"$171,100 ",4.20%,"$219,000 ",6.40%,,,,,,,,,,,,,"$590,700 ",8.80%,"$638,600 ",11.10%,,,,,,,,,,,,,,,,,,,,,,,,
0,593 (tie),University of Miami (UM) - Florida ,81%,"$232,800 ","$229,600 ",3.70%,"$122,500 ","$339,900 ",7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,593 (tie),Temple University (Out-Of-State),66%,"$172,700 ","$229,600 ",4.50%,"$139,400 ","$262,900 ",5.60%,"$74,360 ",2.00%,"$107,600 ",3.10%,"$242,100 ",4.60%,"$275,400 ",5.80%,"$614,400 ",8.10%,"$647,600 ",9.20%,,,,,"$21,900 ",0.80%,"$55,180 ",1.80%,"$607,700 ",8.00%,"$641,000 ",9.20%,"($30,600)",-0.80%,"$2,653 ",0.30%,,,,,,,,,,,,,,,,,,,,
6,595 (tie),Idaho State University (ISU) (Out-Of-State),35%,"$139,000 ","$228,700 ",5.20%,"$113,400 ","$254,400 ",6.20%,,,,,"$70,320 ",2.20%,"$95,940 ",3.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,595 (tie),Minnesota State University - Mankato Campus (Out-Of-State),52%,"$109,400 ","$228,700 ",6.00%,"$89,330 ","$248,800 ",7.10%,,,,,"$211,800 ",5.70%,"$231,800 ",6.80%,"$660,600 ",10.40%,"$680,600 ",11.60%,,,,,,,,,"$577,900 ",9.80%,"$598,000 ",10.90%,,,,,,,,,,,,,,,,,,,,,,,,
6,597,Roosevelt University ,42%,"$178,600 ","$228,200 ",4.40%,"$109,700 ","$297,100 ",6.90%,,,,,"$210,600 ",4.10%,"$279,500 ",6.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,598 (tie),Roger Williams University ,61%,"$194,700 ","$228,100 ",4.10%,"$141,100 ","$281,700 ",5.80%,,,,,"$324,400 ",5.20%,"$378,000 ",6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,598 (tie),Southern University and A&M College (Out-Of-State),28%,"$96,060 ","$228,100 ",6.40%,"$74,140 ","$250,000 ",7.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,600,Southern Nazarene University ,40%,"$135,000 ","$227,600 ",5.20%,"$79,580 ","$283,000 ",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,601,"East Central University - Ada, OK (Out-Of-State)",33%,"$97,730 ","$226,900 ",6.40%,"$62,720 ","$261,900 ",8.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,602,Saint Leo University ,43%,"$133,000 ","$226,700 ",5.30%,"$71,640 ","$288,100 ",8.60%,,,,,"$240,600 ",5.50%,"$302,000 ",8.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,603,Kalamazoo College ,81%,"$197,700 ","$226,400 ",4.10%,"$110,500 ","$313,600 ",7.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,604,University of Oregon (In-State),67%,"$93,310 ","$225,700 ",6.50%,"$62,160 ","$256,900 ",8.70%,"($19,300)",-1.00%,"$11,840 ",1.00%,"$395,200 ",8.80%,"$426,400 ",11.00%,,,,,,,,,,,,,,,,,"$173,200 ",5.60%,"$204,400 ",7.70%,,,,,,,,,,,,,"$336,100 ",8.10%,"$367,200 ",10.30%,,,,
0,605 (tie),Wellesley College ,92%,"$223,200 ","$225,600 ",3.70%,"$76,390 ","$372,500 ",9.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,605 (tie),Pacific Lutheran University ,70%,"$177,500 ","$225,600 ",4.40%,"$99,880 ","$303,200 ",7.40%,,,,,"$455,700 ",6.70%,"$533,300 ",9.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,607,Rowan University (Out-Of-State),71%,"$154,900 ","$225,500 ",4.80%,"$114,600 ","$265,800 ",6.40%,"$41,220 ",1.40%,"$81,530 ",2.90%,"$340,100 ",6.20%,"$380,400 ",7.80%,"$641,800 ",8.70%,"$682,100 ",10.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,608,"Concordia University - Saint Paul, MN ",47%,"$172,500 ","$225,100 ",4.40%,"$86,640 ","$310,900 ",8.10%,,,,,"$284,100 ",5.20%,"$370,000 ",8.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,609 (tie),Youngstown State University (YSU) (Out-Of-State),32%,"$102,800 ","$225,000 ",6.10%,"$71,860 ","$256,000 ",8.10%,,,,,"$159,400 ",5.00%,"$190,300 ",6.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,609 (tie),Wichita State University (Out-Of-State),41%,"$112,500 ","$225,000 ",5.80%,"$87,360 ","$250,100 ",7.20%,"$63,540 ",2.40%,"$88,680 ",3.70%,"$133,100 ",4.10%,"$158,200 ",5.50%,,,,,,,,,,,,,"$719,700 ",10.70%,"$744,800 ",12.10%,,,,,,,,,,,,,,,,,,,,,,,,
0,611,Simmons College ,67%,"$207,800 ","$224,800 ",3.90%,"$129,500 ","$303,200 ",6.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,612,Bowie State University (BSU) (In-State),35%,"$92,400 ","$224,000 ",6.50%,"$50,410 ","$266,000 ",9.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,613,Elon University ,83%,"$161,200 ","$223,900 ",4.60%,"$117,500 ","$267,600 ",6.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,614 (tie),St. Ambrose University ,63%,"$154,400 ","$223,800 ",4.80%,"$92,060 ","$286,200 ",7.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,614 (tie),California State University - Long Beach (CSULB) (Out-Of-State),57%,"$159,300 ","$223,800 ",4.70%,"$110,200 ","$273,000 ",6.60%,"$25,750 ",0.90%,"$74,890 ",2.80%,"$248,300 ",5.00%,"$297,400 ",6.90%,"$701,000 ",9.00%,"$750,100 ",11.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,616,Southern Illinois University (SIU) - Edwardsville Campus (In-State),52%,"$105,000 ","$223,600 ",6.00%,"$76,290 ","$252,400 ",7.80%,,,,,"$159,600 ",4.90%,"$188,300 ",6.60%,,,,,,,,,,,,,"$491,100 ",9.20%,"$519,800 ",11.00%,,,,,,,,,,,,,,,,,,,,,,,,
12,617,Northern Kentucky University (NKU) (In-State),37%,"$84,380 ","$223,500 ",6.90%,"$57,480 ","$250,400 ",8.90%,,,,,"$256,000 ",7.40%,"$282,900 ",9.50%,"$482,100 ",10.20%,"$509,000 ",12.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,618 (tie),University of Vermont (UVM) (Out-Of-State),76%,"$190,400 ","$223,400 ",4.10%,"$136,300 ","$277,400 ",5.90%,,,,,"$308,500 ",5.10%,"$362,500 ",6.90%,,,,,,,,,,,,,,,,,"$99,670 ",2.30%,"$153,700 ",4.00%,,,,,,,,,,,,,,,,,,,,
24,618 (tie),Saint Cloud State University (Out-Of-State),50%,"$116,500 ","$223,400 ",5.70%,"$93,350 ","$246,600 ",6.80%,,,,,"$265,400 ",6.30%,"$288,500 ",7.50%,"$431,500 ",8.20%,"$454,600 ",9.40%,,,,,"($68,300)",-4.20%,"($45,200)",-3.10%,,,,,,,,,"$72,250 ",2.60%,"$95,400 ",3.80%,,,,,,,,,,,,,,,,
6,620 (tie),Barry University ,41%,"$190,000 ","$223,200 ",4.10%,"$92,400 ","$320,800 ",8.00%,,,,,"$225,600 ",4.20%,"$323,200 ",8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,620 (tie),San Francisco State University (SFSU) (Out-Of-State),47%,"$169,700 ","$223,200 ",4.50%,"$119,900 ","$273,000 ",6.30%,"$118,000 ",2.80%,"$167,800 ",4.60%,"$258,700 ",4.90%,"$308,500 ",6.70%,,,,,,,,,,,,,,,,,($549),0.10%,"$49,260 ",1.90%,,,,,,,,,,,,,,,,,,,,
30,622,Towson University (Out-Of-State),66%,"$147,700 ","$223,100 ",4.90%,"$112,300 ","$258,500 ",6.30%,"$91,350 ",2.60%,"$126,700 ",4.00%,"$334,000 ",6.30%,"$369,400 ",7.70%,"$531,700 ",8.10%,"$567,100 ",9.60%,"$170,300 ",4.10%,"$205,700 ",5.50%,"($50,300)",-1.90%,"($14,900)",-0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,623,Furman University ,83%,"$211,200 ","$222,500 ",3.80%,"$126,900 ","$306,800 ",6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,624,Texas State University - San Marcos Campus (In-State),55%,"$87,290 ","$222,400 ",6.70%,"$48,710 ","$260,900 ",9.90%,"($11,700)",-0.60%,"$26,820 ",2.40%,"$297,500 ",7.90%,"$336,100 ",11.10%,"$615,000 ",11.20%,"$653,600 ",14.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,625,"Robert Morris University (RMU) - Moon Township, PA ",54%,"$160,800 ","$222,100 ",4.60%,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,626,University of New Mexico (UNM) (Out-Of-State),46%,"$151,200 ","$221,800 ",4.80%,"$124,500 ","$248,500 ",5.80%,,,,,"$230,400 ",4.90%,"$257,000 ",5.90%,"$821,000 ",9.90%,"$847,700 ",11.00%,,,,,,,,,"$766,900 ",9.60%,"$793,600 ",10.70%,,,,,,,,,,,,,,,,,,,,,,,,
0,627 (tie),Central College ,69%,"$164,000 ","$221,600 ",4.50%,"$86,130 ","$299,400 ",8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
